mon ikke martha er en                              kvinde               som mange moder en ældre                          
ikke forfærdede siger englene til                  kvinde               mod og misundelse det er                          
ikke forfærdede siger englene til                  kvinde               for nogle år siden udkom                          
måske bemærk jeg kender en                         kvinde               der er blind hun har                              
jeg har hørt om en                                 kvinde               der boede i en le                                 
første under jesu den kanaanæiske                  kvinde               er på grænsen fysisk evangelie                    
en def forleden fortalte en                        kvinde               mig en rørende hi sidste                          
en halv million danskere mest                      kvinde               ved konfirmationsforberedelsens begyndelsen h der 
og se d en 40årig                                  kvinde               der lider af en uhelbredel                        
siden talte jeg med en                             kvinde               som vi befinder os i                              
dag at gøre med en                                 kvinde               der lever han så op                               
år siden sagde en klog                             kvinde               i min søndagen i dag                              
kan tolkes så forskelligt en                       kvinde               f den dag den lille                               
år siden døde en 36årig                            kvinde               på for et par år                                  
en overraskelse det var hvad                       kvinde               endnu et kirkeår er slut                          
en overraskelse det var hvad                       kvinde               et barn bliver født glæden                        
af opgangen møder vi en                            kvinde               ma forleden dag kunne man                         
kierkegaard talte engang med en                    kvinde               sidste lørdag var jeg til                         
