besøg af fatih a en                                kvinde               jeg kender havde en kortere                       
amerikansk maria er en ren                         kvinde               hun er blevet et sym                              
en dag slæbende med en                             kvinde               der var engang en kejser                          
man taler om sammenhængskraft og                   kvinde               hvorfor græder du i grunden                       
li diasklik hvem er den                            kvinde               det er hvis hvilken forskel                       
er en vandrehistorie om en                         kvinde               som al det er et                                  
vi høre denne historie om                          kvinde               det er pinse vi fejrer                            
er dets her er en                                  kvinde               der har ambitioner på sine                        
det at føde et barn                                kvinde               hvor kommer du fra det                            
dag i 1767 kæmpende en                             kvinde               for hvor er himlens port                          
er til at forstå en                                kvinde               der er vist desværre en                           
engang en beretning om en                          kvinde               s de værste skuffelser opstår                     
mænd er fra mars mens                              kvinde               kvinder når man læser markus                      
mellem det tr den kanaanæiske                      kvinde               har to ting i mod                                 
afvisende jesus og en insisterende                 kvinde               templet på espegårdsvej jeg havde                 
over et andet den kanaanæiske                      kvinde               får ret det skal s                                
